Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 1RF,57.145381,-2.104292,393788,806059,NJ937060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1985-07-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RH,57.146161,-2.105881,393692,806146,NJ936061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RJ,57.146934,-2.106246,393670,806232,NJ936062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RL,57.146907,-2.105734,393701,806229,NJ937062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RN,57.147274,-2.107156,393615,806270,NJ936062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RP,57.147301,-2.107751,393579,806273,NJ935062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RQ,57.146715,-2.109336,393483,806208,NJ934062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RR,57.146617,-2.109121,393496,806197,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RS,57.146213,-2.10874,393519,806152,NJ935061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1982-03-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RT,57.146571,-2.11046,393415,806192,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1RU,57.146552,-2.110707,393400,806190,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1973-08-01,1980-03-01,"","",,,"","","City Centre West - 04","Large urban area",
